Toleo;Corrente;Tamb;Tempo
58;400;19;1/3/21 0:00
58;400;19;1/3/21 0:01
57;400;19;1/3/21 0:02
57;400;18,9;1/3/21 0:03
56;400;18,9;1/3/21 0:04
56;400;18,9;1/3/21 0:05
55;400;18,8;1/3/21 0:06
55;400;18,8;1/3/21 0:07
54;400;18,8;1/3/21 0:08
54;400;18,8;1/3/21 0:09
53;400;18,7;1/3/21 0:10
53;400;18,7;1/3/21 0:11
52;400;18,6;1/3/21 0:12
52;400;18,6;1/3/21 0:13
51;400;18,5;1/3/21 0:14
51;400;18,5;1/3/21 0:15
50;400;18,4;1/3/21 0:16
50;400;18,4;1/3/21 0:17
49;400;18,3;1/3/21 0:18
49;400;18,3;1/3/21 0:19
48;400;18,2;1/3/21 0:20
48;400;18,2;1/3/21 0:21
48;400;18,1;1/3/21 0:22
48;400;18,1;1/3/21 0:23
48;400;18;1/3/21 0:24
48;400;18,2;1/3/21 0:25
48;400;18,4;1/3/21 0:26
48;400;18,6;1/3/21 0:27
48;400;18,8;1/3/21 0:28
48;400;19;1/3/21 0:29
48;400;19,2;1/3/21 0:30
48;400;19,4;1/3/21 0:31
48;400;19,6;1/3/21 0:32
48;400;19,8;1/3/21 0:33
49;800;20;1/3/21 0:34
49;800;20,2;1/3/21 0:35
49;800;20,4;1/3/21 0:36
50;800;20,6;1/3/21 0:37
50;800;20,8;1/3/21 0:38
51;800;21;1/3/21 0:39
51;800;21,2;1/3/21 0:40
52;800;21,4;1/3/21 0:41
52;800;21,6;1/3/21 0:42
53;800;21,8;1/3/21 0:43
53;800;22;1/3/21 0:44
54;800;22,2;1/3/21 0:45
54;800;22,4;1/3/21 0:46
55;800;22,6;1/3/21 0:47
55;800;22,8;1/3/21 0:48
56;700;23;1/3/21 0:49
56;700;23,2;1/3/21 0:50
57;700;23,4;1/3/21 0:51
57;700;23,6;1/3/21 0:52
58;700;23,8;1/3/21 0:53
58;700;24;1/3/21 0:54
59;700;24,2;1/3/21 0:55
59;700;24,4;1/3/21 0:56
60;700;24,6;1/3/21 0:57
60;700;24,8;1/3/21 0:58
61;700;25;1/3/21 0:59
61;700;25,2;1/3/21 1:00
62;700;25,4;1/3/21 1:01
62;700;25,6;1/3/21 1:02
63;700;25,8;1/3/21 1:03
63;700;26;1/3/21 1:04
64;700;26,2;1/3/21 1:05
64;700;26,4;1/3/21 1:06
65;700;26,6;1/3/21 1:07
65;700;26,8;1/3/21 1:08
66;700;27;1/3/21 1:09
66;700;27,2;1/3/21 1:10
67;700;27,4;1/3/21 1:11
67;700;27,6;1/3/21 1:12
68;700;27,8;1/3/21 1:13
68;700;28;1/3/21 1:14
69;700;28,2;1/3/21 1:15
69;700;28,4;1/3/21 1:16
70;500;28,6;1/3/21 1:17
70;500;28,8;1/3/21 1:18
69;500;29;1/3/21 1:19
69;500;29,2;1/3/21 1:20
68;500;29,4;1/3/21 1:21
68;500;29,6;1/3/21 1:22
67;500;29,8;1/3/21 1:23
67;500;30;1/3/21 1:24
66;500;29,8;1/3/21 1:25
66;500;29,6;1/3/21 1:26
65;500;29,4;1/3/21 1:27
65;500;29,2;1/3/21 1:28
64;500;29;1/3/21 1:29
64;500;28,8;1/3/21 1:30
63;400;28,6;1/3/21 1:31
63;400;28,4;1/3/21 1:32
62;400;28,2;1/3/21 1:33
62;400;28;1/3/21 1:34
61;400;27,8;1/3/21 1:35
61;400;27,6;1/3/21 1:36
60;400;27,4;1/3/21 1:37
60;400;27,2;1/3/21 1:38
59;400;27;1/3/21 1:39
59;400;26,8;1/3/21 1:40
58;800;26,6;1/3/21 1:41
58;800;26,4;1/3/21 1:42
59;800;26,2;1/3/21 1:43
59;800;26;1/3/21 1:44
60;800;25,8;1/3/21 1:45
60;800;25,6;1/3/21 1:46
61;800;25,4;1/3/21 1:47
61;800;25,2;1/3/21 1:48
62;800;25;1/3/21 1:49
62;800;24,8;1/3/21 1:50
63;800;24,6;1/3/21 1:51
63;800;24,4;1/3/21 1:52
64;800;24,2;1/3/21 1:53
64;800;24;1/3/21 1:54
65;800;23,8;1/3/21 1:55
65;800;23,6;1/3/21 1:56
66;800;23,4;1/3/21 1:57
66;800;23,2;1/3/21 1:58
67;800;23;1/3/21 1:59
67;800;22,8;1/3/21 2:00
68;800;22,6;1/3/21 2:01
68;800;22,4;1/3/21 2:02
69;800;22,2;1/3/21 2:03
69;800;22;1/3/21 2:04
70;800;21,8;1/3/21 2:05
70;800;21,6;1/3/21 2:06
71;800;21,4;1/3/21 2:07
71;800;21,2;1/3/21 2:08
72;800;21;1/3/21 2:09
72;800;20,8;1/3/21 2:10
71;500;20,6;1/3/21 2:11
70;500;20,4;1/3/21 2:12
69;500;20,2;1/3/21 2:13
68;500;20;1/3/21 2:14
67;500;19,9;1/3/21 2:15
66;500;19,8;1/3/21 2:16
65;500;19,7;1/3/21 2:17
64;500;19,6;1/3/21 2:18
63;400;19,5;1/3/21 2:19
62;400;19,4;1/3/21 2:20
61;400;19,3;1/3/21 2:21
60;400;19,2;1/3/21 2:22
59;400;19,1;1/3/21 2:23
57;400;19;1/3/21 2:24
57;400;19;1/3/21 2:25
56;400;19;1/3/21 2:26
56;400;18,9;1/3/21 2:27
55;400;18,9;1/3/21 2:28
55;400;18,9;1/3/21 2:29
54;400;18,8;1/3/21 2:30
54;400;18,8;1/3/21 2:31
53;400;18,8;1/3/21 2:32
53;400;18,8;1/3/21 2:33
52;400;18,7;1/3/21 2:34
52;400;18,7;1/3/21 2:35
51;400;18,6;1/3/21 2:36
51;400;18,6;1/3/21 2:37
50;400;18,5;1/3/21 2:38
50;400;18,5;1/3/21 2:39
49;400;18,4;1/3/21 2:40
49;400;18,4;1/3/21 2:41
48;400;18,3;1/3/21 2:42
48;400;18,3;1/3/21 2:43
47;400;18,2;1/3/21 2:44
47;400;18,2;1/3/21 2:45
47;400;18,1;1/3/21 2:46
47;400;18,1;1/3/21 2:47
47;400;18;1/3/21 2:48
47;400;18,2;1/3/21 2:49
47;400;18,4;1/3/21 2:50
47;400;18,6;1/3/21 2:51
47;400;18,8;1/3/21 2:52
47;400;19;1/3/21 2:53
